"Código","Unidade Territorial","UF","Referência","Idosos que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"310050","AÇUCENA","MG","05/2020","67"
"310050","AÇUCENA","MG","06/2020","68"
"310050","AÇUCENA","MG","07/2020","67"
"310050","AÇUCENA","MG","08/2020","66"
"310050","AÇUCENA","MG","09/2020","67"
"310050","AÇUCENA","MG","10/2020","67"
"310050","AÇUCENA","MG","11/2020","68"
"310050","AÇUCENA","MG","12/2020","68"
"310050","AÇUCENA","MG","01/2021","67"
"310050","AÇUCENA","MG","02/2021","67"
"310050","AÇUCENA","MG","03/2021","67"
"310050","AÇUCENA","MG","04/2021","65"
"310050","AÇUCENA","MG","05/2021","62"
"310050","AÇUCENA","MG","06/2021","62"
"310050","AÇUCENA","MG","08/2021","63"
"310050","AÇUCENA","MG","09/2021","61"
"310050","AÇUCENA","MG","10/2021","61"
"310050","AÇUCENA","MG","11/2021","60"
"310050","AÇUCENA","MG","12/2021","59"
"310060","ÁGUA BOA","MG","03/2020","75"
"310060","ÁGUA BOA","MG","12/2019","69"
"310060","ÁGUA BOA","MG","06/2018","73"
"310060","ÁGUA BOA","MG","01/2018","71"
"310060","ÁGUA BOA","MG","02/2018","71"
"310060","ÁGUA BOA","MG","05/2018","71"
"310060","ÁGUA BOA","MG","03/2018","70"
"310060","ÁGUA BOA","MG","04/2018","71"
"310060","ÁGUA BOA","MG","07/2018","72"
"310060","ÁGUA BOA","MG","08/2018","72"
"310060","ÁGUA BOA","MG","09/2018","71"
"310060","ÁGUA BOA","MG","10/2018","75"
"310060","ÁGUA BOA","MG","11/2018","75"
"310060","ÁGUA BOA","MG","12/2018","73"
"310060","ÁGUA BOA","MG","01/2019","74"
"310060","ÁGUA BOA","MG","02/2019","74"
"310060","ÁGUA BOA","MG","03/2019","74"
"310060","ÁGUA BOA","MG","04/2019","74"
"310060","ÁGUA BOA","MG","05/2019","74"
"310060","ÁGUA BOA","MG","06/2019","73"
"310060","ÁGUA BOA","MG","07/2019","72"
"310060","ÁGUA BOA","MG","08/2019","70"
"310060","ÁGUA BOA","MG","09/2019","69"
"310060","ÁGUA BOA","MG","10/2019","67"
"310060","ÁGUA BOA","MG","11/2019","69"
"310060","ÁGUA BOA","MG","01/2020","71"
"310060","ÁGUA BOA","MG","02/2020","71"
"310060","ÁGUA BOA","MG","04/2020","74"
"310060","ÁGUA BOA","MG","05/2020","75"
"310060","ÁGUA BOA","MG","06/2020","75"
"310060","ÁGUA BOA","MG","07/2020","75"
"310060","ÁGUA BOA","MG","08/2020","75"
"310060","ÁGUA BOA","MG","09/2020","78"
"310060","ÁGUA BOA","MG","10/2020","80"
"310060","ÁGUA BOA","MG","11/2020","79"
"310060","ÁGUA BOA","MG","12/2020","79"
"310060","ÁGUA BOA","MG","01/2021","78"
"310060","ÁGUA BOA","MG","02/2021","77"
"310060","ÁGUA BOA","MG","03/2021","78"
"310060","ÁGUA BOA","MG","04/2021","78"
"310060","ÁGUA BOA","MG","05/2021","80"
"310060","ÁGUA BOA","MG","06/2021","79"
"310060","ÁGUA BOA","MG","07/2021","82"
"310060","ÁGUA BOA","MG","08/2021","84"
"310060","ÁGUA BOA","MG","09/2021","84"
"310060","ÁGUA BOA","MG","10/2021","83"
"310060","ÁGUA BOA","MG","11/2021","83"
"310060","ÁGUA BOA","MG","12/2021","83"
"310070","ÁGUA COMPRIDA","MG","03/2018","8"
"310070","ÁGUA COMPRIDA","MG","04/2018","8"
"310070","ÁGUA COMPRIDA","MG","05/2018","8"
"310070","ÁGUA COMPRIDA","MG","06/2018","8"
"310070","ÁGUA COMPRIDA","MG","07/2018","8"
"310070","ÁGUA COMPRIDA","MG","08/2018","8"
"310070","ÁGUA COMPRIDA","MG","09/2018","8"
"310070","ÁGUA COMPRIDA","MG","10/2018","8"
"310070","ÁGUA COMPRIDA","MG","11/2018","8"
"310070","ÁGUA COMPRIDA","MG","12/2018","8"
"310070","ÁGUA COMPRIDA","MG","01/2019","8"
"310070","ÁGUA COMPRIDA","MG","02/2019","7"
"310070","ÁGUA COMPRIDA","MG","03/2019","7"
"310070","ÁGUA COMPRIDA","MG","04/2019","7"
"310070","ÁGUA COMPRIDA","MG","05/2019","7"
"310070","ÁGUA COMPRIDA","MG","06/2019","7"
"310070","ÁGUA COMPRIDA","MG","07/2019","7"
"310070","ÁGUA COMPRIDA","MG","08/2019","6"
"310070","ÁGUA COMPRIDA","MG","09/2019","6"
"310070","ÁGUA COMPRIDA","MG","10/2019","6"
"310070","ÁGUA COMPRIDA","MG","11/2019","5"
"310070","ÁGUA COMPRIDA","MG","01/2020","5"
"310070","ÁGUA COMPRIDA","MG","02/2020","5"
"310070","ÁGUA COMPRIDA","MG","03/2020","6"
"310070","ÁGUA COMPRIDA","MG","04/2020","5"
"310070","ÁGUA COMPRIDA","MG","05/2020","5"
"310070","ÁGUA COMPRIDA","MG","06/2020","5"
"310070","ÁGUA COMPRIDA","MG","07/2020","5"
"310070","ÁGUA COMPRIDA","MG","08/2020","5"
"310070","ÁGUA COMPRIDA","MG","09/2020","5"
"310070","ÁGUA COMPRIDA","MG","10/2020","5"
"310070","ÁGUA COMPRIDA","MG","11/2020","5"
"310070","ÁGUA COMPRIDA","MG","12/2020","5"
"310070","ÁGUA COMPRIDA","MG","01/2021","5"
"310070","ÁGUA COMPRIDA","MG","02/2021","5"
"310070","ÁGUA COMPRIDA","MG","03/2021","5"
"310070","ÁGUA COMPRIDA","MG","05/2021","5"
"310070","ÁGUA COMPRIDA","MG","06/2021","5"
"310070","ÁGUA COMPRIDA","MG","07/2021","6"
"310070","ÁGUA COMPRIDA","MG","08/2021","6"
"310070","ÁGUA COMPRIDA","MG","04/2021","5"
"310070","ÁGUA COMPRIDA","MG","12/2019","5"
"310070","ÁGUA COMPRIDA","MG","09/2021","6"
"310070","ÁGUA COMPRIDA","MG","10/2021","7"
"310070","ÁGUA COMPRIDA","MG","11/2021","7"
"310070","ÁGUA COMPRIDA","MG","02/2018","8"
"310070","ÁGUA COMPRIDA","MG","01/2018","8"
"310070","ÁGUA COMPRIDA","MG","12/2021","6"
"310080","AGUANIL","MG","02/2021","16"
"310080","AGUANIL","MG","12/2019","19"
"310080","AGUANIL","MG","01/2018","23"
"310080","AGUANIL","MG","02/2018","23"
"310080","AGUANIL","MG","03/2018","23"
"310080","AGUANIL","MG","04/2018","23"
"310080","AGUANIL","MG","05/2018","22"
"310080","AGUANIL","MG","06/2018","22"
"310080","AGUANIL","MG","07/2018","22"
"310080","AGUANIL","MG","08/2018","22"
"310080","AGUANIL","MG","09/2018","21"
"310080","AGUANIL","MG","10/2018","21"
"310080","AGUANIL","MG","11/2018","21"
"310080","AGUANIL","MG","12/2018","21"
"310080","AGUANIL","MG","01/2019","20"
"310080","AGUANIL","MG","02/2019","21"
"310080","AGUANIL","MG","03/2019","21"
"310080","AGUANIL","MG","04/2019","20"
"310080","AGUANIL","MG","05/2019","20"
"310080","AGUANIL","MG","06/2019","20"
"310080","AGUANIL","MG","07/2019","19"
"310080","AGUANIL","MG","08/2019","19"
"310080","AGUANIL","MG","09/2019","18"
"310080","AGUANIL","MG","10/2019","19"
"310080","AGUANIL","MG","11/2019","19"
"310080","AGUANIL","MG","01/2020","18"
"310080","AGUANIL","MG","02/2020","17"
"310080","AGUANIL","MG","03/2020","17"
"310080","AGUANIL","MG","04/2020","17"
"310080","AGUANIL","MG","05/2020","16"
"310080","AGUANIL","MG","06/2020","16"
"310080","AGUANIL","MG","07/2020","16"
"310080","AGUANIL","MG","08/2020","15"
"310080","AGUANIL","MG","09/2020","15"
"310080","AGUANIL","MG","10/2020","15"
"310080","AGUANIL","MG","11/2020","16"
"310080","AGUANIL","MG","12/2020","16"
"310080","AGUANIL","MG","01/2021","16"
"310080","AGUANIL","MG","03/2021","16"
"310080","AGUANIL","MG","04/2021","16"
"310080","AGUANIL","MG","05/2021","16"
"310080","AGUANIL","MG","06/2021","16"
"310080","AGUANIL","MG","07/2021","16"
"310080","AGUANIL","MG","08/2021","16"
"310080","AGUANIL","MG","09/2021","15"
"310080","AGUANIL","MG","10/2021","15"
"310080","AGUANIL","MG","11/2021","14"
"310080","AGUANIL","MG","12/2021","14"
"310090","ÁGUAS FORMOSAS","MG","06/2019","465"
"310090","ÁGUAS FORMOSAS","MG","07/2019","461"
"310090","ÁGUAS FORMOSAS","MG","10/2018","460"
"310090","ÁGUAS FORMOSAS","MG","09/2018","457"
"310090","ÁGUAS FORMOSAS","MG","08/2018","454"
"310090","ÁGUAS FORMOSAS","MG","07/2018","452"
"310090","ÁGUAS FORMOSAS","MG","06/2018","455"
"310090","ÁGUAS FORMOSAS","MG","05/2018","455"
"310090","ÁGUAS FORMOSAS","MG","04/2018","455"
"310090","ÁGUAS FORMOSAS","MG","03/2018","453"
"310090","ÁGUAS FORMOSAS","MG","02/2018","452"
"310090","ÁGUAS FORMOSAS","MG","01/2018","455"
"310090","ÁGUAS FORMOSAS","MG","11/2021","486"
"310090","ÁGUAS FORMOSAS","MG","10/2021","490"
"310090","ÁGUAS FORMOSAS","MG","09/2021","492"
"310090","ÁGUAS FORMOSAS","MG","08/2021","491"
"310090","ÁGUAS FORMOSAS","MG","07/2021","491"
"310090","ÁGUAS FORMOSAS","MG","06/2021","486"
"310090","ÁGUAS FORMOSAS","MG","05/2021","487"
"310090","ÁGUAS FORMOSAS","MG","04/2021","487"
"310090","ÁGUAS FORMOSAS","MG","03/2021","486"
"310090","ÁGUAS FORMOSAS","MG","02/2021","481"
"310090","ÁGUAS FORMOSAS","MG","01/2021","483"
"310090","ÁGUAS FORMOSAS","MG","12/2020","484"
"310090","ÁGUAS FORMOSAS","MG","11/2020","487"
"310090","ÁGUAS FORMOSAS","MG","10/2020","491"
"310090","ÁGUAS FORMOSAS","MG","09/2020","491"
"310090","ÁGUAS FORMOSAS","MG","08/2020","491"
"310090","ÁGUAS FORMOSAS","MG","07/2020","487"
"310090","ÁGUAS FORMOSAS","MG","06/2020","489"
"310090","ÁGUAS FORMOSAS","MG","05/2020","494"
"310090","ÁGUAS FORMOSAS","MG","04/2020","485"
"310090","ÁGUAS FORMOSAS","MG","03/2020","479"
"310090","ÁGUAS FORMOSAS","MG","02/2020","475"
"310090","ÁGUAS FORMOSAS","MG","01/2020","473"
"310090","ÁGUAS FORMOSAS","MG","11/2019","473"
"310090","ÁGUAS FORMOSAS","MG","12/2021","484"
"310090","ÁGUAS FORMOSAS","MG","10/2019","461"
"310090","ÁGUAS FORMOSAS","MG","09/2019","458"
"310090","ÁGUAS FORMOSAS","MG","08/2019","460"
"310090","ÁGUAS FORMOSAS","MG","12/2019","470"
"310090","ÁGUAS FORMOSAS","MG","11/2018","461"
"310090","ÁGUAS FORMOSAS","MG","12/2018","462"
"310090","ÁGUAS FORMOSAS","MG","01/2019","459"
"310090","ÁGUAS FORMOSAS","MG","02/2019","460"
"310090","ÁGUAS FORMOSAS","MG","03/2019","461"
"310090","ÁGUAS FORMOSAS","MG","04/2019","461"
"310090","ÁGUAS FORMOSAS","MG","05/2019","465"
"310100","ÁGUAS VERMELHAS","MG","09/2019","70"
"310100","ÁGUAS VERMELHAS","MG","12/2018","72"
"310100","ÁGUAS VERMELHAS","MG","11/2018","74"
"310100","ÁGUAS VERMELHAS","MG","01/2018","75"
"310100","ÁGUAS VERMELHAS","MG","02/2018","74"
"310100","ÁGUAS VERMELHAS","MG","03/2018","75"
"310100","ÁGUAS VERMELHAS","MG","04/2018","74"
"310100","ÁGUAS VERMELHAS","MG","05/2018","73"
"310100","ÁGUAS VERMELHAS","MG","06/2018","71"
"310100","ÁGUAS VERMELHAS","MG","07/2018","70"
"310100","ÁGUAS VERMELHAS","MG","08/2018","70"
"310100","ÁGUAS VERMELHAS","MG","09/2018","72"
"310100","ÁGUAS VERMELHAS","MG","10/2018","75"
"310100","ÁGUAS VERMELHAS","MG","01/2019","72"
"310100","ÁGUAS VERMELHAS","MG","02/2019","73"
"310100","ÁGUAS VERMELHAS","MG","03/2019","71"
"310100","ÁGUAS VERMELHAS","MG","04/2019","69"
"310100","ÁGUAS VERMELHAS","MG","05/2019","68"
"310100","ÁGUAS VERMELHAS","MG","06/2019","68"
"310100","ÁGUAS VERMELHAS","MG","07/2019","68"
"310100","ÁGUAS VERMELHAS","MG","08/2019","70"
"310100","ÁGUAS VERMELHAS","MG","10/2019","70"
"310100","ÁGUAS VERMELHAS","MG","11/2019","71"
"310100","ÁGUAS VERMELHAS","MG","01/2020","73"
"310100","ÁGUAS VERMELHAS","MG","02/2020","73"
"310100","ÁGUAS VERMELHAS","MG","03/2020","75"
"310100","ÁGUAS VERMELHAS","MG","04/2020","78"
"310100","ÁGUAS VERMELHAS","MG","05/2020","78"
"310100","ÁGUAS VERMELHAS","MG","06/2020","81"
"310100","ÁGUAS VERMELHAS","MG","07/2020","83"
"310100","ÁGUAS VERMELHAS","MG","08/2020","84"
"310100","ÁGUAS VERMELHAS","MG","09/2020","83"
