Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
310540:MG-BARAO DE COCAIS;2189760,12999995;3331755,91000002;0;4788981,59999998;1990721,39000013;4050577,41000002;3342223,91000001;31592,8800000008;19725613,2300001
310550:MG-BARAO DE MONTE ALTO;0;1212;0;18295,9900000039;60403,7699999996;44535,3200000003;734831,919999983;157606,180000001;1016885,17999999
310560:MG-BARBACENA;0;8866155,8300001;45231,7200000007;2020154,53;11109178,4999997;23242185,1399998;20069314,9700003;1186358,07999997;66538578,7699999
310570:MG-BARRA LONGA;0;16927,7399999993;0;10956,160000002;126298,940000016;96803,7599999849;708107,76000002;108048,089999997;1067142,45000002
310590:MG-BARROSO;259663,999999995;1915021,53999999;0;96412,6600000095;1183455,90000011;1575661,50999991;1777659,45999984;38675,9500000007;6846551,01999986
310600:MG-BELA VISTA DE MINAS;1279269,70000006;227491,670000009;0;4512,20000000112;297165,180000041;736744,449999996;962719,599999998;30745,1199999992;3538647,9200001
310610:MG-BELMIRO BRAGA;1430;251591,250000075;178958,129999992;0;30632,9800000023;17566,0099999998;466688,090000007;230188,459999992;1177054,92000007
310620:MG-BELO HORIZONTE;17817340,8800003;167997412,240001;140127966,590002;289086222,139999;364307895,799997;1811106656,03999;2431298221,90003;14673153,2800002;5236414868,87002
310630:MG-BELO ORIENTE;15971,7199999988;9374768,32999986;0;865986,959999996;1409285,6800001;4751427,45999999;2594952,21000008;2773125,47000012;21785517,8300002
310640:MG-BELO VALE;704128,930000012;22525,6300000027;0;2314,28999999911;294353,350000036;263128,540000008;634169,799999963;115126,739999998;2035747,28000002
310650:MG-BERILO;0;4441,79000000097;0;1356,66999999993;103573,570000012;173433,819999993;1015395,49999992;9157,11999999918;1307358,46999993
310660:MG-BERTOPOLIS;0;0;0;0;18570,9600000009;24600,8999999985;296022,569999998;72833,5900000017;412028,02
310665:MG-BERIZAL;0;78330,2599999961;0;8650;70456,2699999977;13207,6000000015;594730,290000025;103833;869207,42000002
310670:MG-BETIM;667690,310000021;175045907,140001;1895843,31000001;12515734,48;43328216,3799997;83195465,4700001;44148927,8700005;241359,070000004;361039144,030001
310680:MG-BIAS FORTES;0;4815,83999999799;0;0;27458,2599999998;8061,53999999911;398081,479999993;64168,4600000028;502585,579999993
310690:MG-BICAS;0;888824,670000008;0;306551,449999996;1130996,76000005;980376,720000016;1144461,53999994;118160,040000001;4569371,18000002
310700:MG-BIQUINHAS;0;3380;0;5800;98378,3400000054;39047,5900000036;551377,189999988;66004,1799999978;763987,299999995
310710:MG-BOA ESPERANCA;28161,7599999979;1707515,77999995;259449,899999997;191277,309999989;3766163,41000009;3474485,34000003;3322222,47999999;2651255,84999998;15400531,83
