"Código","Unidade Territorial","UF","Referência","Valor repassado aos idosos via Benefício de Prestação Continuada (BPC) por município pagador"
"310050","AÇUCENA","MG","05/2018","58862"
"310050","AÇUCENA","MG","06/2018","58862.00"
"310050","AÇUCENA","MG","07/2018","59816"
"310050","AÇUCENA","MG","08/2018","59816"
"310050","AÇUCENA","MG","09/2018","60770"
"310050","AÇUCENA","MG","10/2018","60770"
"310050","AÇUCENA","MG","11/2018","60766"
"310050","AÇUCENA","MG","12/2018","60770"
"310050","AÇUCENA","MG","01/2019","65868.64"
"310050","AÇUCENA","MG","02/2019","65868"
"310050","AÇUCENA","MG","03/2019","65868"
"310050","AÇUCENA","MG","04/2019","66866"
"310050","AÇUCENA","MG","05/2019","66866"
"310050","AÇUCENA","MG","06/2019","66866"
"310050","AÇUCENA","MG","07/2019","65868"
"310050","AÇUCENA","MG","08/2019","65868"
"310050","AÇUCENA","MG","09/2019","65868"
"310050","AÇUCENA","MG","10/2019","65868"
"310050","AÇUCENA","MG","11/2019","67879.85"
"310050","AÇUCENA","MG","01/2020","71691"
"310050","AÇUCENA","MG","02/2020","72105.5"
"310050","AÇUCENA","MG","03/2020","71060"
"310050","AÇUCENA","MG","04/2020","73150"
"310050","AÇUCENA","MG","05/2020","70015"
"310050","AÇUCENA","MG","06/2020","71060.00"
"310050","AÇUCENA","MG","07/2020","70015"
"310050","AÇUCENA","MG","08/2020","68970"
"310050","AÇUCENA","MG","09/2020","70015"
"310050","AÇUCENA","MG","10/2020","70015"
"310050","AÇUCENA","MG","11/2020","71069.01"
"310050","AÇUCENA","MG","12/2020","71060"
"310050","AÇUCENA","MG","01/2021","73700"
"310050","AÇUCENA","MG","02/2021","73700"
"310050","AÇUCENA","MG","03/2021","73700"
"310050","AÇUCENA","MG","04/2021","71500"
"310050","AÇUCENA","MG","05/2021","68200"
"310050","AÇUCENA","MG","07/2021","70400"
"310050","AÇUCENA","MG","08/2021","69300"
"310050","AÇUCENA","MG","09/2021","67100"
"310050","AÇUCENA","MG","10/2021","67100"
"310050","AÇUCENA","MG","12/2021","64900"
"310050","AÇUCENA","MG","12/2019","67864"
"310050","AÇUCENA","MG","11/2021","66008.24"
"310060","ÁGUA BOA","MG","01/2018","67734"
"310060","ÁGUA BOA","MG","02/2018","67734"
"310060","ÁGUA BOA","MG","12/2021","91300"
"310060","ÁGUA BOA","MG","03/2018","66780"
"310060","ÁGUA BOA","MG","04/2018","67734"
"310060","ÁGUA BOA","MG","05/2018","67734"
"310060","ÁGUA BOA","MG","06/2018","69642.00"
"310060","ÁGUA BOA","MG","07/2018","68402"
"310060","ÁGUA BOA","MG","08/2018","68562"
"310060","ÁGUA BOA","MG","09/2018","67734"
"310060","ÁGUA BOA","MG","10/2018","71550"
"310060","ÁGUA BOA","MG","11/2018","71546.25"
